Graduate_ID,Age,Gender,State_of_Origin,Region,Urban_or_Rural,Household_Income_Bracket,Field_of_Study,University_Type,GPA_or_Class_of_Degree,Has_Postgrad_Degree,Years_Since_Graduation,Employment_Status,Salary_Level,Net_Salary
G0432,34,Female,Lagos,West,Urban,High,Business,State,Second Class Lower,No,10,Employed,Low-paid,50372
G0433,25,Male,Lagos,North,Urban,High,Health Sciences,Federal,Second Class Upper,No,0,Employed,Well-paid,271564
G0434,23,Female,Rivers,South,Urban,High,Education,Federal,Second Class Lower,No,0,Employed,Low-paid,173297
G0435,32,Male,Rivers,West,Urban,Low,Health Sciences,State,First Class,No,0,Employed,Low-paid,178058
G0436,21,Male,Lagos,West,Urban,High,Education,Federal,Second Class Upper,No,1,Employed,Well-paid,263615
G0437,24,Female,Borno,East,Urban,Middle,Business,State,Second Class Upper,No,0,Unemployed,Not employed,0
G0438,33,Male,Kaduna,East,Urban,High,Health Sciences,State,Second Class Upper,No,3,Unemployed,Not employed,0
G0439,25,Male,Delta,North,Urban,Low,Engineering,Private,Second Class Upper,No,9,Employed,Low-paid,79445
G0440,27,Female,Kano,South,Rural,Middle,Health Sciences,State,Second Class Upper,Yes,8,Employed,Low-paid,135532
G0441,21,Male,Delta,West,Urban,High,Education,Federal,Second Class Upper,Yes,3,Employed,Well-paid,309435
G0442,23,Male,Enugu,East,Urban,High,Education,State,Second Class Lower,No,3,Employed,Low-paid,195810
G0443,22,Female,Oyo,East,Rural,Middle,Health Sciences,Federal,Second Class Lower,No,6,Employed,Low-paid,126974
G0444,29,Male,Plateau,South,Urban,Middle,Education,Federal,Second Class Lower,No,10,Employed,Low-paid,171049
G0445,30,Female,Kaduna,South,Rural,Low,Business,Federal,Second Class Upper,No,8,Employed,Low-paid,181827
G0446,26,Other,Kano,East,Rural,Middle,Health Sciences,Federal,Third Class,Yes,6,Employed,Low-paid,112716
G0447,30,Female,Enugu,East,Urban,Middle,Education,State,Second Class Lower,No,0,Unemployed,Not employed,0
G0448,23,Female,Rivers,North,Urban,Low,Health Sciences,Federal,Second Class Upper,No,0,Employed,Well-paid,269061
G0449,28,Male,Kano,South,Urban,Low,Health Sciences,State,Second Class Upper,No,3,Unemployed,Not employed,0
G0450,34,Male,Lagos,West,Urban,Low,Engineering,Federal,Second Class Upper,Yes,3,Unemployed,Not employed,0
G0451,28,Female,Delta,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,0,Employed,Low-paid,79884
G0452,22,Female,Kano,East,Rural,Low,Engineering,Private,Second Class Lower,No,5,Unemployed,Not employed,0
G0453,26,Female,Oyo,East,Urban,Middle,Education,Federal,Second Class Lower,No,9,Employed,Low-paid,51796
G0454,27,Male,Edo,East,Urban,Low,Engineering,State,Second Class Lower,No,1,Employed,Well-paid,344826
G0455,22,Male,Rivers,North,Rural,Middle,Engineering,Federal,Second Class Upper,No,10,Employed,Well-paid,343233
G0456,31,Male,Plateau,South,Rural,Middle,Engineering,Federal,Second Class Upper,No,4,Employed,Low-paid,167747
G0457,30,Female,Plateau,East,Urban,Middle,Business,Federal,Second Class Upper,No,7,Employed,Low-paid,117713
G0458,22,Male,Kano,South,Urban,Middle,Engineering,State,First Class,No,2,Employed,Low-paid,143668
G0459,30,Female,Edo,West,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,8,Employed,Low-paid,117586
G0460,21,Female,Delta,West,Rural,Low,Engineering,Federal,First Class,Yes,6,Employed,Low-paid,172206
G0461,28,Male,Enugu,West,Urban,High,Health Sciences,Federal,Second Class Lower,No,8,Employed,Low-paid,140666
G0462,21,Female,Kaduna,West,Rural,Low,Engineering,State,Second Class Upper,No,0,Employed,Low-paid,163796
G0463,29,Male,Delta,South,Urban,Low,Business,State,Second Class Lower,Yes,4,Employed,Low-paid,88577
G0464,31,Female,Enugu,West,Rural,Middle,Education,State,First Class,No,2,Employed,Low-paid,104765
G0465,26,Female,Kaduna,West,Urban,Low,Engineering,Federal,Second Class Lower,No,3,Employed,Low-paid,74841
G0466,27,Female,Edo,East,Rural,Middle,Engineering,State,Third Class,No,3,Employed,Low-paid,75498
G0467,33,Female,Kaduna,East,Rural,Low,Business,State,Second Class Lower,No,10,Unemployed,Not employed,0
G0468,30,Male,Delta,East,Urban,Middle,Engineering,State,Second Class Lower,Yes,6,Employed,Low-paid,158567
G0469,27,Male,Oyo,North,Rural,Low,Health Sciences,State,Second Class Lower,No,9,Employed,Well-paid,312642
G0470,30,Female,Kano,East,Rural,Low,Engineering,State,Second Class Upper,No,10,Employed,Well-paid,267229
G0471,23,Male,Enugu,West,Rural,Low,Engineering,Federal,Second Class Lower,Yes,7,Unemployed,Not employed,0
G0472,22,Male,Oyo,South,Urban,Middle,Education,State,Second Class Lower,No,10,Employed,Well-paid,327855
G0473,29,Male,Enugu,West,Urban,High,Education,Private,Second Class Upper,No,9,Employed,Low-paid,113914
G0474,28,Female,Kano,South,Rural,Middle,Engineering,Federal,Second Class Lower,Yes,4,Employed,Low-paid,161399
G0475,33,Male,Borno,West,Rural,Middle,Business,Federal,Second Class Upper,No,9,Employed,Low-paid,64838
G0476,32,Female,Kaduna,North,Urban,Middle,Education,Private,First Class,No,6,Employed,Low-paid,151224
G0477,30,Other,Edo,East,Rural,High,Engineering,Federal,Second Class Upper,Yes,2,Employed,Low-paid,136765
G0478,27,Male,Borno,West,Urban,Middle,Education,State,Second Class Upper,No,2,Unemployed,Not employed,0
G0479,29,Male,Borno,East,Rural,Low,Engineering,Federal,Second Class Upper,No,2,Employed,Well-paid,269703
G0480,24,Male,Plateau,North,Urban,Middle,Education,Federal,First Class,Yes,3,Employed,Well-paid,353687
G0481,33,Female,Lagos,North,Urban,Middle,Education,Federal,Second Class Upper,No,5,Unemployed,Not employed,0
G0482,24,Male,Delta,East,Urban,Low,Health Sciences,Federal,Second Class Lower,Yes,4,Employed,Low-paid,91845
G0483,21,Male,Oyo,East,Urban,Low,Engineering,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G0484,28,Male,Oyo,South,Urban,High,Engineering,Federal,First Class,Yes,4,Employed,Low-paid,88907
G0485,34,Female,Oyo,East,Urban,High,Engineering,State,Second Class Upper,No,10,Unemployed,Not employed,0
G0486,34,Male,Oyo,East,Urban,Middle,Engineering,Private,Second Class Upper,No,4,Employed,Low-paid,105421
G0487,32,Female,Delta,South,Urban,High,Education,Federal,Second Class Upper,No,9,Unemployed,Not employed,0
G0488,23,Female,Borno,West,Rural,Middle,Health Sciences,State,Second Class Upper,No,1,Unemployed,Not employed,0
G0489,27,Male,Delta,South,Urban,Low,Health Sciences,State,Second Class Lower,No,10,Employed,Well-paid,233330
G0490,32,Female,Oyo,West,Urban,Low,Business,State,First Class,Yes,10,Employed,Well-paid,379217
G0491,22,Male,Lagos,West,Urban,Low,Engineering,State,Second Class Lower,No,4,Employed,Low-paid,105244
G0492,22,Female,Rivers,West,Rural,Low,Business,Federal,Second Class Lower,Yes,6,Unemployed,Not employed,0
G0493,27,Female,Kano,South,Rural,Low,Education,Federal,Third Class,Yes,1,Employed,Low-paid,171696
G0494,26,Female,Oyo,South,Urban,Middle,Business,Federal,Second Class Upper,No,5,Employed,Low-paid,90564
G0495,23,Male,Edo,North,Rural,Middle,Engineering,Federal,Second Class Upper,Yes,6,Employed,Low-paid,153963
G0496,29,Male,Rivers,West,Rural,High,Health Sciences,State,First Class,No,4,Employed,Well-paid,380568
G0497,30,Male,Delta,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,8,Employed,Low-paid,171299
G0498,34,Male,Edo,North,Rural,High,Engineering,State,First Class,Yes,3,Unemployed,Not employed,0
G0499,33,Male,Edo,West,Urban,Middle,Education,Private,Second Class Lower,No,9,Employed,Well-paid,320972
G0500,26,Male,Enugu,South,Urban,High,Engineering,Private,First Class,No,0,Unemployed,Not employed,0
G0501,30,Male,Edo,South,Urban,Middle,Education,Private,Second Class Upper,No,7,Employed,Well-paid,262469
G0502,30,Male,Oyo,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,7,Employed,Low-paid,52716
G0503,26,Female,Enugu,East,Urban,High,Education,State,Third Class,No,6,Employed,Low-paid,77254
G0504,21,Male,Plateau,North,Urban,Low,Engineering,Federal,Second Class Lower,Yes,7,Employed,Low-paid,92632
G0505,24,Male,Borno,South,Urban,Middle,Engineering,State,Second Class Upper,No,1,Unemployed,Not employed,0
G0506,30,Male,Edo,East,Urban,Low,Engineering,State,Second Class Upper,No,2,Unemployed,Not employed,0
G0507,26,Male,Lagos,North,Urban,Middle,Education,State,First Class,No,8,Employed,Low-paid,153964
G0508,26,Female,Kano,North,Urban,High,Education,Federal,Second Class Lower,No,0,Employed,Well-paid,394213
G0509,31,Male,Edo,East,Urban,Low,Education,State,Second Class Lower,Yes,7,Employed,Well-paid,309623
G0510,32,Female,Plateau,North,Rural,High,Health Sciences,Federal,Second Class Upper,No,7,Unemployed,Not employed,0
G0511,25,Female,Kaduna,East,Urban,Low,Business,Federal,First Class,Yes,6,Unemployed,Not employed,0
G0512,21,Female,Delta,West,Urban,Low,Business,State,Second Class Lower,No,10,Unemployed,Not employed,0
G0513,28,Female,Delta,South,Urban,Low,Engineering,Federal,Second Class Upper,No,4,Employed,Well-paid,221277
G0514,25,Female,Plateau,East,Urban,Middle,Health Sciences,Private,Third Class,No,3,Employed,Low-paid,176833
G0515,32,Other,Kaduna,North,Urban,Low,Education,Federal,Second Class Upper,Yes,9,Employed,Well-paid,217503
G0516,32,Female,Delta,North,Urban,Middle,Engineering,State,Second Class Upper,Yes,9,Employed,Low-paid,150566
G0517,32,Female,Delta,West,Rural,Low,Health Sciences,Federal,Second Class Upper,No,9,Employed,Well-paid,286921
G0518,25,Female,Delta,West,Urban,Low,Engineering,State,Second Class Upper,No,9,Employed,Low-paid,126180
G0519,27,Female,Plateau,West,Urban,Middle,Health Sciences,State,Second Class Lower,Yes,5,Employed,Low-paid,159264
G0520,24,Female,Borno,West,Urban,Low,Health Sciences,Private,Second Class Lower,Yes,10,Unemployed,Not employed,0
G0521,26,Male,Kano,West,Rural,Low,Business,Federal,Second Class Upper,No,0,Unemployed,Not employed,0
G0522,33,Male,Plateau,South,Rural,Low,Engineering,Private,Second Class Upper,Yes,4,Employed,Low-paid,82864
G0523,24,Male,Kaduna,East,Urban,Middle,Education,Federal,First Class,No,3,Employed,Well-paid,339850
G0524,34,Male,Edo,West,Urban,Middle,Business,Federal,Second Class Lower,No,3,Employed,Low-paid,146923
G0525,23,Male,Borno,West,Rural,Low,Business,Federal,Second Class Upper,No,6,Unemployed,Not employed,0
G0526,27,Male,Borno,South,Urban,Low,Education,State,Second Class Upper,No,8,Unemployed,Not employed,0
G0527,28,Female,Edo,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,7,Unemployed,Not employed,0
G0528,24,Male,Lagos,West,Urban,Low,Education,State,Second Class Upper,No,10,Unemployed,Not employed,0
G0529,33,Female,Enugu,East,Urban,High,Engineering,State,Second Class Lower,No,7,Employed,Low-paid,95596
G0530,22,Male,Kano,East,Rural,Middle,Education,Federal,Second Class Lower,No,4,Employed,Low-paid,199694
G0531,32,Male,Kano,South,Rural,Middle,Health Sciences,Private,Second Class Upper,No,5,Employed,Low-paid,179739
G0532,30,Female,Lagos,South,Rural,Low,Education,Federal,Second Class Lower,No,1,Employed,Well-paid,219733
G0533,34,Female,Enugu,West,Urban,Middle,Health Sciences,State,Second Class Upper,Yes,10,Unemployed,Not employed,0
G0534,23,Male,Kano,North,Urban,Middle,Health Sciences,Federal,Third Class,Yes,2,Employed,Low-paid,159082
G0535,21,Female,Kaduna,South,Urban,Middle,Engineering,State,Second Class Upper,No,4,Employed,Low-paid,62372
G0536,28,Female,Rivers,East,Rural,Middle,Education,Federal,First Class,No,1,Employed,Low-paid,161950
G0537,23,Male,Rivers,East,Rural,Middle,Education,Federal,Second Class Upper,No,2,Unemployed,Not employed,0
G0538,32,Male,Kano,West,Urban,Middle,Engineering,Federal,Second Class Upper,No,3,Employed,Low-paid,85256
G0539,30,Other,Oyo,West,Urban,Low,Health Sciences,Federal,First Class,No,5,Employed,Well-paid,384017
G0540,27,Female,Kano,West,Urban,Middle,Education,Federal,Second Class Lower,No,4,Employed,Well-paid,273353
G0541,30,Female,Edo,East,Rural,Low,Engineering,Federal,Second Class Lower,Yes,9,Employed,Well-paid,284757
G0542,25,Female,Edo,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,3,Employed,Low-paid,164687
G0543,30,Male,Enugu,North,Urban,Middle,Engineering,State,Second Class Lower,No,1,Unemployed,Not employed,0
G0544,25,Male,Delta,South,Urban,Middle,Education,State,Second Class Upper,Yes,10,Employed,Well-paid,305700
G0545,34,Male,Borno,North,Urban,Middle,Engineering,State,Second Class Upper,No,4,Unemployed,Not employed,0
G0546,27,Female,Kaduna,South,Rural,Low,Business,State,Second Class Upper,No,4,Employed,Low-paid,199297
G0547,29,Female,Lagos,West,Rural,Low,Health Sciences,State,Second Class Lower,No,10,Employed,Low-paid,108546
G0548,32,Female,Kano,East,Rural,Middle,Business,State,Second Class Upper,No,6,Unemployed,Not employed,0
G0549,25,Male,Delta,North,Rural,High,Business,Federal,Second Class Upper,No,0,Employed,Low-paid,58064
G0550,21,Male,Delta,South,Urban,Middle,Health Sciences,State,Second Class Upper,No,3,Employed,Well-paid,303073
G0551,30,Female,Kaduna,East,Urban,Low,Health Sciences,Federal,Second Class Upper,Yes,10,Unemployed,Not employed,0
G0552,30,Female,Lagos,North,Urban,High,Engineering,State,Second Class Lower,No,4,Employed,Well-paid,345058
G0553,21,Female,Edo,North,Rural,High,Health Sciences,State,Second Class Upper,No,7,Unemployed,Not employed,0
G0554,22,Male,Plateau,East,Urban,Middle,Business,Federal,Second Class Upper,No,7,Employed,Low-paid,91689
G0555,34,Female,Kaduna,West,Urban,Middle,Business,State,Second Class Upper,No,0,Employed,Well-paid,396924
G0556,26,Male,Delta,East,Urban,Middle,Education,Federal,Second Class Upper,No,4,Employed,Well-paid,387677
G0557,29,Female,Rivers,West,Urban,Middle,Health Sciences,Federal,Second Class Lower,Yes,9,Unemployed,Not employed,0
G0558,28,Male,Kano,South,Rural,High,Business,Federal,Second Class Upper,Yes,0,Employed,Well-paid,363915
G0559,33,Female,Enugu,South,Rural,Low,Education,State,Second Class Lower,No,0,Unemployed,Not employed,0
G0560,25,Male,Rivers,East,Urban,Middle,Education,State,Second Class Upper,No,1,Unemployed,Not employed,0
G0561,21,Female,Delta,West,Urban,Middle,Engineering,State,Second Class Lower,No,1,Employed,Low-paid,94006
G0562,33,Male,Borno,South,Rural,High,Business,Federal,Third Class,No,8,Employed,Well-paid,232195
G0563,27,Male,Oyo,West,Rural,High,Engineering,State,Second Class Lower,No,3,Employed,Well-paid,200203
G0564,25,Male,Lagos,West,Urban,High,Business,State,Second Class Lower,No,2,Employed,Well-paid,371735
G0565,26,Male,Edo,West,Urban,Middle,Engineering,Federal,Second Class Upper,Yes,10,Employed,Well-paid,377886
G0566,33,Male,Kano,East,Urban,Middle,Engineering,State,Second Class Lower,No,0,Employed,Low-paid,95248
G0567,27,Female,Enugu,West,Urban,Middle,Health Sciences,Federal,Second Class Lower,Yes,1,Unemployed,Not employed,0
G0568,23,Male,Plateau,East,Rural,Middle,Engineering,Federal,Third Class,No,5,Unemployed,Not employed,0
G0569,32,Female,Edo,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,8,Unemployed,Not employed,0
G0570,30,Female,Kano,South,Urban,Middle,Education,State,Second Class Lower,No,4,Unemployed,Not employed,0
G0571,23,Female,Plateau,North,Urban,High,Business,Federal,Second Class Upper,No,3,Employed,Well-paid,207460
G0572,25,Male,Enugu,North,Urban,Low,Education,Federal,Second Class Upper,Yes,4,Employed,Low-paid,168463
G0573,26,Male,Delta,South,Urban,Low,Business,Federal,Second Class Upper,No,8,Unemployed,Not employed,0
G0574,29,Female,Oyo,West,Urban,Middle,Education,Federal,Second Class Lower,Yes,6,Employed,Well-paid,257230
G0575,33,Female,Rivers,West,Urban,Middle,Business,Federal,First Class,No,7,Unemployed,Not employed,0
G0576,34,Male,Rivers,South,Urban,High,Engineering,Federal,Second Class Upper,No,3,Employed,Low-paid,172268
G0577,32,Male,Delta,South,Urban,Low,Business,State,Second Class Upper,No,10,Employed,Well-paid,385782
G0578,25,Male,Edo,North,Urban,Low,Business,Federal,Second Class Upper,No,7,Unemployed,Not employed,0
G0579,21,Other,Delta,West,Urban,Middle,Education,State,Second Class Lower,No,5,Unemployed,Not employed,0
G0580,34,Male,Delta,South,Urban,Low,Education,State,Second Class Lower,No,4,Employed,Low-paid,185427
G0581,34,Male,Kano,North,Urban,Low,Education,Federal,Second Class Upper,No,6,Unemployed,Not employed,0
G0582,34,Female,Kano,North,Urban,Low,Health Sciences,Federal,Second Class Upper,Yes,5,Employed,Low-paid,81935
G0583,24,Male,Enugu,West,Rural,Low,Health Sciences,State,Second Class Upper,No,2,Employed,Low-paid,167739
G0584,25,Male,Oyo,North,Rural,Low,Business,Federal,Second Class Upper,No,4,Unemployed,Not employed,0
G0585,32,Female,Kano,North,Urban,High,Business,Federal,Second Class Upper,No,8,Employed,Low-paid,52663
G0586,30,Female,Enugu,East,Rural,Low,Engineering,Federal,First Class,No,6,Employed,Well-paid,372463
G0587,30,Male,Borno,South,Urban,Middle,Engineering,State,Second Class Upper,Yes,3,Employed,Well-paid,294903
G0588,25,Male,Delta,West,Urban,High,Business,State,Second Class Upper,No,6,Employed,Well-paid,350618
G0589,27,Male,Delta,South,Urban,Middle,Health Sciences,Private,Second Class Lower,No,4,Employed,Well-paid,331110
G0590,24,Male,Edo,East,Urban,Middle,Business,State,Second Class Upper,No,10,Employed,Well-paid,378884
G0591,21,Female,Borno,West,Urban,Middle,Engineering,Federal,Second Class Upper,No,1,Employed,Low-paid,60318
G0592,34,Male,Edo,South,Urban,Middle,Health Sciences,Federal,First Class,No,5,Unemployed,Not employed,0
G0593,34,Male,Plateau,North,Rural,High,Health Sciences,Federal,Third Class,Yes,6,Employed,Well-paid,339992
G0594,25,Male,Enugu,West,Urban,Middle,Engineering,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G0595,27,Female,Enugu,East,Urban,High,Business,Federal,First Class,Yes,5,Employed,Well-paid,261243
G0596,30,Female,Delta,North,Urban,Middle,Education,Federal,Second Class Upper,No,7,Employed,Well-paid,385003
G0597,30,Female,Kaduna,East,Urban,Low,Business,Federal,Second Class Lower,No,6,Employed,Low-paid,160723
G0598,26,Male,Plateau,North,Rural,High,Business,Federal,Second Class Lower,No,1,Employed,Low-paid,134044
G0599,25,Female,Enugu,South,Rural,Middle,Engineering,Federal,Second Class Lower,No,5,Employed,Low-paid,86902
G0600,24,Female,Kano,South,Rural,High,Health Sciences,Private,First Class,No,8,Employed,Low-paid,147845
G0601,22,Male,Delta,South,Urban,Low,Engineering,State,Second Class Lower,Yes,5,Employed,Well-paid,367611
G0602,24,Male,Edo,East,Urban,Low,Business,Private,Second Class Lower,No,3,Employed,Low-paid,121074
G0603,30,Male,Borno,West,Urban,High,Education,Federal,Second Class Upper,No,6,Employed,Well-paid,248949
G0604,30,Male,Edo,South,Urban,Low,Education,Federal,Second Class Lower,Yes,2,Employed,Low-paid,154765
G0605,23,Male,Rivers,East,Urban,High,Education,Federal,Second Class Upper,No,4,Employed,Low-paid,96543
G0606,30,Male,Kaduna,North,Rural,High,Engineering,Federal,Second Class Upper,No,0,Unemployed,Not employed,0
G0607,21,Male,Enugu,South,Urban,High,Health Sciences,Federal,Second Class Lower,No,9,Employed,Well-paid,211398
G0608,28,Female,Oyo,North,Urban,Middle,Engineering,Private,Second Class Upper,No,2,Employed,Low-paid,195844
G0609,25,Male,Lagos,South,Rural,Middle,Education,Private,First Class,Yes,7,Employed,Low-paid,123436
G0610,33,Female,Kaduna,North,Rural,High,Business,Federal,Second Class Upper,No,8,Unemployed,Not employed,0
G0611,24,Female,Delta,East,Urban,Middle,Health Sciences,Federal,Second Class Lower,Yes,8,Employed,Low-paid,159809
G0612,28,Female,Enugu,South,Urban,Middle,Engineering,Federal,First Class,Yes,9,Unemployed,Not employed,0
G0613,27,Female,Borno,East,Urban,High,Engineering,Federal,First Class,No,1,Employed,Well-paid,250396
G0614,22,Male,Enugu,East,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G0615,21,Female,Lagos,North,Urban,High,Health Sciences,Federal,Second Class Lower,No,4,Unemployed,Not employed,0
G0616,32,Male,Borno,South,Urban,Low,Business,Federal,Second Class Lower,No,2,Unemployed,Not employed,0
G0617,31,Male,Edo,West,Urban,Low,Health Sciences,Federal,Second Class Upper,No,10,Employed,Low-paid,160583
G0618,24,Female,Borno,West,Urban,Middle,Business,Federal,Second Class Upper,No,0,Employed,Well-paid,266193
G0619,28,Male,Kaduna,East,Rural,Low,Education,Federal,Second Class Upper,No,5,Employed,Well-paid,309461
G0620,32,Male,Edo,North,Rural,Middle,Education,Federal,Second Class Upper,No,9,Employed,Well-paid,220840
G0621,22,Female,Enugu,North,Urban,Low,Engineering,Private,Second Class Lower,No,1,Unemployed,Not employed,0
G0622,23,Female,Delta,North,Rural,High,Education,Federal,First Class,No,8,Employed,Low-paid,148119
G0623,32,Female,Plateau,South,Urban,Low,Education,State,Second Class Upper,No,0,Employed,Low-paid,130061
G0624,21,Male,Delta,South,Urban,Middle,Business,State,Second Class Upper,Yes,10,Employed,Well-paid,263900
G0625,21,Female,Enugu,North,Urban,Low,Engineering,Private,First Class,Yes,8,Employed,Low-paid,95384
G0626,33,Male,Lagos,West,Urban,Middle,Health Sciences,State,Second Class Upper,No,6,Employed,Well-paid,324679
G0627,23,Female,Plateau,West,Urban,Low,Engineering,State,Second Class Upper,No,10,Unemployed,Not employed,0
G0628,31,Female,Enugu,South,Rural,Low,Education,State,Second Class Lower,No,9,Employed,Well-paid,229917
G0629,25,Female,Oyo,North,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,1,Employed,Low-paid,162301
G0630,32,Female,Kaduna,West,Rural,Low,Engineering,Federal,Second Class Upper,Yes,5,Employed,Low-paid,138155
G0631,23,Male,Oyo,West,Urban,Low,Engineering,Private,Second Class Upper,No,7,Employed,Low-paid,120071
G0632,21,Female,Edo,South,Urban,Middle,Engineering,State,Third Class,No,1,Employed,Low-paid,106425
G0633,21,Female,Rivers,South,Urban,Low,Engineering,Private,Second Class Upper,No,4,Employed,Well-paid,280116
G0634,28,Male,Enugu,West,Urban,Middle,Business,State,Third Class,No,10,Unemployed,Not employed,0
G0635,30,Female,Kano,North,Urban,Low,Engineering,State,Second Class Lower,Yes,5,Unemployed,Not employed,0
G0636,31,Male,Kano,West,Urban,Low,Education,State,Second Class Lower,No,2,Unemployed,Not employed,0
G0637,32,Female,Borno,West,Urban,Middle,Education,State,First Class,No,1,Employed,Low-paid,111321
G0638,33,Female,Delta,North,Urban,Low,Business,State,Second Class Upper,No,10,Unemployed,Not employed,0
G0639,33,Female,Delta,South,Urban,High,Health Sciences,Private,First Class,No,5,Unemployed,Not employed,0
G0640,32,Male,Delta,North,Urban,High,Health Sciences,State,Second Class Upper,No,2,Unemployed,Not employed,0
G0641,34,Female,Oyo,North,Urban,Low,Education,State,Third Class,No,1,Employed,Low-paid,117512
G0642,22,Female,Kaduna,North,Rural,High,Education,State,First Class,No,0,Unemployed,Not employed,0
G0643,33,Female,Enugu,North,Rural,Low,Business,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G0644,23,Male,Lagos,South,Urban,Low,Health Sciences,Federal,First Class,No,0,Unemployed,Not employed,0
G0645,22,Male,Borno,West,Urban,Low,Health Sciences,Private,Second Class Lower,No,4,Employed,Well-paid,388161
G0646,23,Female,Edo,East,Urban,Middle,Engineering,State,Second Class Upper,No,10,Unemployed,Not employed,0
G0647,27,Male,Plateau,South,Rural,Middle,Engineering,Federal,First Class,No,5,Unemployed,Not employed,0
G0648,21,Female,Edo,North,Urban,Low,Engineering,Federal,Second Class Upper,No,10,Employed,Low-paid,151973
G0649,30,Female,Enugu,West,Urban,Middle,Business,State,Second Class Lower,No,2,Employed,Low-paid,168880
G0650,28,Female,Rivers,West,Urban,Middle,Education,State,First Class,No,6,Unemployed,Not employed,0
G0651,33,Female,Delta,North,Urban,Low,Business,State,Second Class Upper,Yes,1,Employed,Low-paid,97055
G0652,30,Female,Plateau,South,Rural,Middle,Health Sciences,State,First Class,No,6,Employed,Low-paid,50937
G0653,30,Male,Oyo,North,Rural,High,Education,Federal,Third Class,Yes,1,Employed,Well-paid,217673
G0654,30,Male,Enugu,West,Urban,Low,Engineering,Federal,Second Class Upper,No,4,Unemployed,Not employed,0
G0655,34,Male,Rivers,West,Rural,Low,Business,Federal,Second Class Lower,No,6,Employed,Low-paid,152974
G0656,22,Male,Oyo,South,Urban,Middle,Business,State,Second Class Lower,No,10,Employed,Well-paid,272957
G0657,23,Female,Rivers,East,Rural,Middle,Engineering,Federal,First Class,Yes,10,Employed,Low-paid,62953
G0658,29,Female,Delta,North,Rural,Middle,Business,State,Second Class Upper,No,2,Unemployed,Not employed,0
G0659,27,Female,Oyo,East,Urban,Low,Engineering,State,First Class,No,10,Employed,Low-paid,117052
G0660,24,Female,Kaduna,West,Rural,Middle,Health Sciences,State,Second Class Upper,Yes,3,Unemployed,Not employed,0
G0661,30,Other,Kano,East,Urban,Middle,Education,Private,Second Class Upper,No,0,Unemployed,Not employed,0
G0662,25,Female,Edo,North,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,2,Employed,Well-paid,377412
G0663,22,Female,Kaduna,North,Urban,Low,Health Sciences,State,First Class,No,8,Employed,Well-paid,243042
G0664,33,Female,Plateau,West,Urban,Middle,Engineering,Federal,First Class,No,9,Employed,Low-paid,169180
G0665,31,Male,Borno,South,Urban,Low,Business,Federal,Second Class Lower,No,4,Employed,Low-paid,121706
G0666,33,Male,Kano,South,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,7,Employed,Low-paid,174765
G0667,28,Male,Kaduna,West,Rural,High,Health Sciences,Federal,First Class,Yes,1,Unemployed,Not employed,0
G0668,24,Female,Enugu,North,Urban,Middle,Health Sciences,State,First Class,No,2,Unemployed,Not employed,0
G0669,29,Female,Rivers,South,Urban,Low,Business,State,Second Class Lower,Yes,6,Employed,Well-paid,333425
G0670,25,Male,Plateau,East,Urban,Middle,Business,Federal,Second Class Lower,Yes,9,Employed,Low-paid,61999
G0671,33,Male,Enugu,West,Urban,Middle,Engineering,Federal,Third Class,Yes,3,Employed,Low-paid,126474
G0672,29,Female,Kano,East,Urban,Middle,Health Sciences,State,Second Class Upper,No,8,Employed,Low-paid,113134
G0673,24,Male,Rivers,North,Urban,Middle,Education,State,Second Class Upper,No,6,Employed,Well-paid,331652
G0674,30,Male,Plateau,South,Rural,Low,Business,Federal,Second Class Upper,No,10,Unemployed,Not employed,0
G0675,25,Female,Borno,North,Urban,Middle,Engineering,State,Second Class Upper,No,0,Unemployed,Not employed,0
G0676,29,Male,Kano,East,Urban,Middle,Health Sciences,State,First Class,No,3,Employed,Low-paid,120086
G0677,28,Male,Plateau,North,Rural,High,Education,State,First Class,No,9,Unemployed,Not employed,0
G0678,23,Female,Kaduna,North,Urban,Middle,Business,Federal,First Class,No,10,Employed,Well-paid,245248
G0679,21,Female,Plateau,West,Urban,Middle,Education,State,Second Class Lower,No,5,Unemployed,Not employed,0
G0680,23,Female,Kano,West,Urban,Middle,Business,State,Second Class Upper,No,5,Employed,Well-paid,317651
G0681,24,Male,Delta,North,Rural,Low,Engineering,State,Second Class Upper,No,9,Employed,Low-paid,112249
G0682,22,Male,Kaduna,West,Rural,Middle,Education,State,Second Class Lower,No,5,Unemployed,Not employed,0
